code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,23,29,10,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,6,11,6,30,32,-2,57,2
7,0,,2,0,Aston Villa,23,22,18,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,6,4,13,29,44,-15,41,1
91,0,,3,0,Bournemouth,23,20,19,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,5,5,13,20,36,-16,46,2
36,0,,4,0,Brighton,23,25,15,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,6,7,10,26,31,-5,34,2
90,0,,5,0,Burnley,23,27,14,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,8,3,12,26,38,-12,41,0
8,0,,6,0,Chelsea,23,39,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,12,3,8,39,30,9,41,0
31,0,,7,0,Crystal Palace,23,30,9,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,7,9,7,22,26,-4,36,1
11,0,,8,0,Everton,23,29,11,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,8,5,10,26,33,-7,41,2
13,0,,9,0,Leicester,23,45,3,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,14,3,6,48,23,25,24,0
14,0,,10,0,Liverpool,22,64,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,21,1,0,52,14,38,23,1
43,0,,11,0,Man City,23,48,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,15,3,5,64,27,37,41,2
1,0,,12,0,Man Utd,23,34,5,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,9,7,7,36,27,9,44,0
4,0,,13,0,Newcastle,23,29,12,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,8,5,10,22,34,-12,41,2
45,0,,14,0,Norwich,23,17,20,14,NOR,2,1040,1030,990,990,1020,980,,False,0,4,5,14,23,45,-22,46,1
49,0,,15,0,Sheffield Utd,23,33,7,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,8,9,6,25,22,3,43,1
20,0,,16,0,Southampton,23,28,13,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,8,4,11,29,42,-13,33,2
6,0,,17,0,Spurs,23,31,8,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,8,7,8,36,31,5,47,3
57,0,,18,0,Watford,23,23,17,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,5,8,10,20,34,-14,50,3
21,0,,19,0,West Ham,22,23,16,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,6,5,11,26,34,-8,42,1
39,0,,20,0,Wolves,23,34,6,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,8,10,5,34,30,4,34,2
