name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Aaron_Connolly_534,0,0,2,0,0.6,534,63,1,0,0.1,0.2,2019-09-28T14:00:00Z,25,6,0,0,0,0,7,0,32699,0,2,0.0,1,8437,13439,5002,45,False,0,4.0,6,1,3,3,5,10,-5,7,7,1,16,2019,17,9,11,3,2,3,14,12,2,8,12,1,Aaron,Connolly,4
Aaron_Cresswell_376,0,0,20,0,3.9,376,62,2,1,8.8,40.8,2019-09-28T14:00:00Z,90,3,0,0,0,0,7,0,46782,2,2,43.0,7,22176,24766,2590,49,False,0,19.0,12,3,3,1,10,9,1,7,11,1,5,2019,7,6,14,4,2,2,8,8,0,8,19,0,Aaron,Cresswell,2
Aaron_Lennon_430,0,0,0,0,0.0,430,61,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,2,0,0,0,0,7,0,7381,2,2,0.0,0,-471,223,694,48,False,0,5.0,9,2,3,2,10,9,1,7,9,0,11,2019,8,18,7,2,1,5,6,13,-7,8,15,2,Aaron,Lennon,3
Aaron_Mooy_516,0,0,9,0,0.8,516,63,1,0,2.7,26.2,2019-09-28T14:00:00Z,64,6,0,0,0,0,7,0,11427,0,2,0.0,2,-538,357,895,49,False,0,4.0,6,1,3,3,5,10,-5,7,7,1,16,2019,17,9,11,3,2,3,14,12,2,8,12,1,Aaron,Mooy,3
Aaron_Ramsdale_494,0,0,17,0,0.0,494,62,2,0,3.0,30.2,2019-09-28T14:00:00Z,90,19,0,0,0,0,7,4,51706,2,2,0.0,2,21429,25623,4194,45,True,0,3.0,11,3,2,2,13,12,1,7,14,0,8,2019,1,3,15,4,3,1,13,11,2,8,20,1,Aaron,Ramsdale,1
Aaron_Wan-Bissaka_122,0,0,0,0,0.0,122,67,0,0,0.0,0.0,2019-09-30T19:00:00Z,0,1,0,0,0,0,7,0,1608509,1,1,0.0,0,-143055,19950,163005,55,True,0,12.0,9,2,3,2,9,7,2,7,16,0,10,2019,13,16,8,2,2,4,5,13,-8,8,17,1,Aaron,Wan-Bissaka,2
Abdoulaye_Doucouré_368,0,0,16,0,5.3,368,70,2,0,3.1,16.6,2019-09-28T14:00:00Z,90,20,0,0,0,0,7,0,74127,0,2,9.0,2,-8077,670,8747,57,False,0,18.0,2,0,2,5,4,20,-16,7,13,0,20,2019,15,13,9,2,3,3,7,7,0,8,13,1,Abdoulaye,Doucouré,3
Adama_Traoré_417,0,0,9,1,20.5,417,70,0,0,4.3,14.8,2019-09-28T14:00:00Z,86,18,0,0,0,0,7,0,27065,0,2,8.0,3,3405,5359,1954,50,True,0,20.0,7,1,4,2,9,11,-2,7,8,2,13,2019,11,2,16,5,1,2,27,9,18,8,17,0,Adama,Traoré,3
Adam_Idah_538,0,0,0,0,0.0,538,64,0,0,0.0,0.0,2019-09-28T14:00:00Z,0,7,0,0,0,0,7,0,5915,0,2,0.0,0,2037,2974,937,45,False,0,14.0,6,2,0,5,9,16,-7,7,10,0,17,2019,2,15,8,2,2,4,13,12,1,8,13,1,Adam,Idah,4
Adam_Lallana_195,0,0,0,0,0.0,195,68,0,0,0.0,0.0,2019-09-28T11:30:00Z,0,15,0,0,0,0,7,0,7518,1,0,0.0,0,-205,201,406,58,False,0,10.0,21,7,0,0,18,5,13,7,6,0,1,2019,9,4,14,4,2,2,14,7,7,8,11,0,Adam,Lallana,3
