name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Ederson_Santana de Moraes_212,0,0,7,0,0.0,212,211,1,0,0.3,2.8,2020-01-12T16:30:00Z,90,2,0,0,0,0,22,0,865688,6,1,0.0,2,-29148,6716,35864,60,False,0,11.0,47,15,2,5,62,25,37,22,40,2,2,2019,7,9,30,7,9,7,22,26,-4,23,36,1,Ederson,Santana de Moraes,1
Xherdan_Shaqiri_194,0,0,5,0,14.5,194,219,0,0,1.9,4.0,2020-01-11T17:30:00Z,1,17,0,0,0,0,22,0,17519,1,0,0.0,1,-610,18,628,63,False,0,10.0,61,20,1,0,50,14,36,21,22,1,1,2019,12,5,34,9,7,7,36,27,9,23,44,0,Xherdan,Shaqiri,3
Hugo_Lloris_340,0,0,0,0,0.0,340,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,10,0,0,0,0,22,0,239378,1,0,0.0,0,-3102,81,3183,53,True,0,17.0,30,8,6,8,36,31,5,22,44,3,8,2019,18,17,23,5,8,10,20,34,-14,23,50,3,Hugo,Lloris,1
Cenk_Tosun_146,0,0,1,0,0.3,146,214,0,0,0.5,0.2,2020-01-11T12:30:00Z,22,1,0,0,0,0,22,0,8407,1,1,4.0,1,281,137,27,57,True,0,8.0,28,8,4,10,25,32,-7,22,41,2,11,2019,11,2,48,15,3,5,64,27,37,23,41,2,Cenk,Tosun,4
Callum_Robinson_453,0,0,0,0,0.0,453,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,19,0,0,0,0,22,0,19466,0,1,0.0,0,-526,173,699,50,True,0,15.0,32,8,8,6,24,21,3,22,41,1,6,2019,1,10,29,6,11,6,30,32,-2,23,57,2,Callum,Robinson,3
Heung-Min_Son_342,0,0,3,0,2.7,342,219,1,0,3.5,2.6,2020-01-11T17:30:00Z,90,10,0,0,0,0,22,0,455973,1,0,30.0,2,48462,84236,35774,98,True,0,17.0,30,8,6,8,36,31,5,22,44,3,8,2019,18,17,23,5,8,10,20,34,-14,23,50,3,Heung-Min,Son,3
João Filipe Iria_Santos Moutinho_415,1,1,24,0,26.4,415,220,1,0,5.4,27.4,2020-01-11T15:00:00Z,90,13,0,0,0,0,22,0,407903,1,1,0.0,6,10429,32832,22403,54,True,0,20.0,31,7,10,5,31,28,3,22,33,2,7,2019,16,13,28,8,4,11,29,42,-13,23,33,2,João Filipe Iria,Santos Moutinho,3
Andrew_Robertson_181,0,0,21,1,10.9,181,219,0,0,2.7,6.4,2020-01-11T17:30:00Z,90,17,0,0,0,0,22,0,1413313,1,0,10.0,6,44946,80176,35230,70,False,0,10.0,61,20,1,0,50,14,36,21,22,1,1,2019,12,5,34,9,7,7,36,27,9,23,44,0,Andrew,Robertson,2
Danny_Rose_332,0,0,8,0,3.3,332,219,1,0,0.8,4.6,2020-01-11T17:30:00Z,68,10,0,0,0,0,22,0,94624,1,0,0.0,2,-4696,18,4714,53,True,0,13.0,26,7,5,10,21,34,-13,22,40,2,13,2019,18,17,23,5,8,10,20,34,-14,23,50,3,Danny,Rose,2
Martin_Kelly_128,0,0,10,0,4.8,128,214,1,0,1.5,10.0,2020-01-11T12:30:00Z,90,1,0,0,0,0,22,0,2306467,1,1,0.0,2,-64516,33817,98333,44,True,0,7.0,29,7,8,7,20,24,-4,22,34,1,9,2019,11,2,48,15,3,5,64,27,37,23,41,2,Martin,Kelly,2
