code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,15,19,10,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,4,7,4,21,23,-2,37,1
7,0,,2,0,Aston Villa,15,15,16,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,4,3,8,22,24,-2,22,1
91,0,,3,0,Bournemouth,15,16,14,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,4,4,7,18,21,-3,31,1
36,0,,4,0,Brighton,15,18,13,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,5,3,7,18,22,-4,21,2
90,0,,5,0,Burnley,15,18,12,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,5,3,7,21,24,-3,27,0
8,0,,6,0,Chelsea,15,29,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,9,2,4,30,21,9,26,0
31,0,,7,0,Crystal Palace,15,21,7,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,6,3,6,14,18,-4,27,1
11,0,,8,0,Everton,15,14,18,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,4,2,9,16,27,-11,26,2
13,0,,9,0,Leicester,15,35,2,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,11,2,2,35,9,26,17,0
14,0,,10,0,Liverpool,15,43,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,14,1,0,37,14,23,15,1
43,0,,11,0,Man City,15,32,3,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,10,2,3,43,17,26,28,1
1,0,,12,0,Man Utd,15,21,6,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,5,6,4,23,18,5,32,0
4,0,,13,0,Newcastle,15,19,11,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,5,4,6,15,22,-7,27,2
45,0,,14,0,Norwich,15,11,19,14,NOR,2,1040,1030,990,990,1020,980,,False,0,3,2,10,16,32,-16,26,0
49,0,,15,0,Sheffield Utd,15,19,9,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,4,7,4,17,15,2,30,1
20,0,,16,0,Southampton,15,15,17,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,4,3,8,17,33,-16,18,2
6,0,,17,0,Spurs,15,20,8,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,5,5,5,25,23,2,24,2
57,0,,18,0,Watford,15,8,20,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,1,5,9,9,30,-21,30,1
21,0,,19,0,West Ham,15,16,15,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,4,4,7,17,25,-8,29,1
39,0,,20,0,Wolves,15,23,5,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,5,8,2,21,17,4,24,2
