name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
DeAndre_Yedlin_253,0,0,0,0,0.0,253,233,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,8,0,0,0,0,24,0,5907,2,2,0.0,0,-549,10,559,44,False,0,13.0,30,8,6,10,24,36,-12,24,42,2,14,2019,14,20,18,4,6,15,24,47,-23,25,48,1,DeAndre,Yedlin,2
Dean_Henderson_471,0,3,31,0,0.0,471,236,1,0,5.4,54.0,2020-01-21T19:30:00Z,90,11,0,0,1,0,24,4,750737,1,0,0.0,11,-9618,25371,34989,49,True,0,15.0,33,8,9,7,25,23,2,24,47,1,8,2019,7,14,30,7,9,9,22,29,-7,25,40,1,Dean,Henderson,1
Declan_Rice_395,0,0,11,0,5.3,395,234,4,0,2.5,11.2,2020-01-22T19:30:00Z,90,9,0,0,0,0,24,0,124193,1,4,8.0,2,8849,12873,4024,47,False,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Declan,Rice,3
Declan_Rice_395,0,0,15,0,20.1,395,180,2,0,8.2,25.6,2020-01-29T19:45:00Z,90,10,0,0,0,0,24,0,124193,2,0,36.0,2,8849,12873,4024,47,True,0,19.0,23,6,5,13,27,40,-13,24,45,1,17,2019,4,15,26,6,8,11,30,37,-7,25,36,2,Declan,Rice,3
Dejan_Lovren_186,0,0,0,0,0.0,186,237,0,0,0.0,0.0,2020-01-23T20:00:00Z,0,20,0,0,0,0,24,0,14725,2,1,0.0,0,-299,17,316,53,False,0,10.0,70,23,1,0,56,15,41,24,24,1,1,2019,16,13,31,9,4,12,31,46,-15,25,37,2,Dejan,Lovren,2
Dejan_Lovren_186,0,0,0,0,0.0,186,180,0,0,0.0,0.0,2020-01-29T19:45:00Z,0,19,0,0,0,0,24,0,14725,2,0,0.0,0,-299,17,316,53,False,0,10.0,70,23,1,0,56,15,41,24,24,1,1,2019,16,13,31,9,4,12,31,46,-15,25,37,2,Dejan,Lovren,2
Demarai_Gray_175,0,0,0,0,0.0,175,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,19,0,0,0,0,24,0,18665,1,4,0.0,0,-225,189,414,51,True,0,9.0,48,15,3,6,52,24,28,24,25,0,3,2019,6,4,41,12,5,8,43,34,9,25,45,0,Demarai,Gray,3
Dennis_Praet_517,0,0,0,0,0.0,517,234,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,19,0,0,0,0,24,0,7442,1,4,0.0,0,1504,2021,517,53,True,0,9.0,48,15,3,6,52,24,28,24,25,0,3,2019,6,4,41,12,5,8,43,34,9,25,45,0,Dennis,Praet,3
Dennis_Srbeny_279,0,0,0,0,0.0,279,240,0,0,0.0,0.0,2020-01-22T19:30:00Z,0,17,0,0,0,0,24,0,2882,1,2,0.0,0,-60,5,65,52,False,0,14.0,17,4,5,15,24,47,-23,24,47,1,20,2019,13,12,31,8,7,10,24,36,-12,25,44,2,Dennis,Srbeny,4
Diego_Rico_65,1,0,17,0,1.1,65,232,1,0,1.5,9.6,2020-01-21T19:30:00Z,90,4,0,0,0,0,24,0,852645,1,3,4.0,5,-72319,7772,80091,43,True,0,3.0,23,6,5,13,23,37,-14,24,47,2,18,2019,2,17,25,7,4,14,32,47,-15,25,46,1,Diego,Rico,2
Dimitri_Foulquier_542,0,0,0,0,0.0,542,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,2,0,0,0,0,24,0,11704,1,2,0.0,0,-491,32,523,40,False,0,18.0,23,5,8,11,21,36,-15,24,52,3,19,2019,8,9,33,9,6,10,31,37,-6,25,44,3,Dimitri,Foulquier,2
Diogo_Jota_410,0,0,-1,0,0.3,410,237,1,0,1.8,0.0,2020-01-23T20:00:00Z,13,10,0,0,0,0,24,0,190995,2,1,19.0,1,-5881,70,5951,61,True,0,20.0,34,8,10,6,35,32,3,24,34,2,7,2019,12,7,35,9,8,8,36,29,7,25,47,0,Diogo,Jota,4
Divock_Origi_188,0,0,2,0,1.1,188,237,0,0,0.1,0.0,2020-01-23T20:00:00Z,5,20,0,0,0,0,24,0,188928,2,1,0.0,1,728,5072,4344,52,False,0,10.0,70,23,1,0,56,15,41,24,24,1,1,2019,16,13,31,9,4,12,31,46,-15,25,37,2,Divock,Origi,4
Divock_Origi_188,1,0,13,1,1.8,188,180,0,0,2.7,4.4,2020-01-29T19:45:00Z,68,19,0,0,0,0,24,0,188928,2,0,21.0,5,728,5072,4344,52,False,0,10.0,70,23,1,0,56,15,41,24,24,1,1,2019,16,13,31,9,4,12,31,46,-15,25,37,2,Divock,Origi,4
Djibril_Sidibé_511,0,0,12,0,18.8,511,233,2,0,4.6,16.4,2020-01-21T19:30:00Z,90,13,0,0,0,0,24,0,159175,2,2,11.0,1,-13895,13012,26907,54,True,0,8.0,30,8,6,10,28,35,-7,24,42,2,12,2019,18,19,23,5,8,12,23,39,-16,25,54,3,Djibril,Sidibé,2
Domingos_Quina_375,0,0,0,0,0.0,375,231,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,2,0,0,0,0,24,0,6349,1,2,0.0,0,-38,63,101,44,False,0,18.0,23,5,8,11,21,36,-15,24,52,3,19,2019,8,9,33,9,6,10,31,37,-6,25,44,3,Domingos,Quina,3
Dominic_Calvert-Lewin_147,0,0,26,0,38.1,147,233,2,1,10.3,38.6,2020-01-21T19:30:00Z,90,13,0,0,0,0,24,0,716299,2,2,26.0,5,174323,198320,23997,60,True,1,8.0,30,8,6,10,28,35,-7,24,42,2,12,2019,18,19,23,5,8,12,23,39,-16,25,54,3,Dominic,Calvert-Lewin,4
Dominic_Solanke_69,2,0,21,0,21.1,69,232,1,0,7.1,21.6,2020-01-21T19:30:00Z,84,4,0,0,0,0,24,0,24228,1,3,28.0,8,-332,325,657,52,True,0,3.0,23,6,5,13,23,37,-14,24,47,2,18,2019,2,17,25,7,4,14,32,47,-15,25,46,1,Dominic,Solanke,4
Douglas Luiz_Soares de Paulo_470,0,1,18,0,2.4,470,231,0,1,7.6,41.0,2020-01-21T19:30:00Z,34,18,0,0,0,0,24,0,273246,1,2,33.0,6,6984,20753,13769,44,True,1,2.0,25,7,4,13,31,45,-14,24,43,1,16,2019,3,16,26,7,5,13,25,38,-13,25,48,3,Douglas Luiz,Soares de Paulo,3
Dwight_Gayle_554,0,0,0,0,0.0,554,233,0,0,0.0,0.0,2020-01-21T19:30:00Z,0,8,0,0,0,0,24,0,2982,2,2,0.0,0,-172,26,198,50,False,0,13.0,30,8,6,10,24,36,-12,24,42,2,14,2019,14,20,18,4,6,15,24,47,-23,25,48,1,Dwight,Gayle,4
Dwight_McNeil_97,0,0,10,1,1.8,97,235,0,0,1.7,13.8,2020-01-22T20:15:00Z,90,12,0,0,0,0,24,0,33527,2,0,1.0,3,-1968,512,2480,60,False,0,5.0,30,9,3,12,28,38,-10,24,43,0,13,2019,1,10,31,6,13,6,32,34,-2,25,61,3,Dwight,McNeil,3
