code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,34,50,8,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,12,14,8,50,42,8,74,5
7,0,,2,0,Aston Villa,34,27,19,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,7,6,21,36,65,-29,62,1
91,0,,3,0,Bournemouth,34,28,18,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,7,7,20,32,59,-27,68,3
36,0,,4,0,Brighton,34,36,15,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,8,12,14,36,47,-11,52,2
90,0,,5,0,Burnley,34,49,10,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,14,7,13,38,46,-8,62,0
8,0,,6,0,Chelsea,34,60,3,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,18,6,10,63,46,17,56,0
31,0,,7,0,Crystal Palace,34,42,14,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,11,9,14,30,43,-13,53,1
11,0,,8,0,Everton,34,45,11,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,12,9,13,41,49,-8,62,3
13,0,,9,0,Leicester,34,59,4,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,17,8,9,64,32,32,39,1
14,0,,10,0,Liverpool,34,92,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,30,2,2,75,26,49,35,1
43,0,,11,0,Man City,34,69,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,22,3,9,86,34,52,58,4
1,0,,12,0,Man Utd,34,58,5,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,16,10,8,59,33,26,62,0
4,0,,13,0,Newcastle,34,43,13,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,11,10,13,35,50,-15,62,3
45,0,,14,0,Norwich,34,21,20,14,NOR,2,1040,1030,990,990,1020,980,,False,0,5,6,23,26,63,-37,64,1
49,0,,15,0,Sheffield Utd,34,51,7,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,13,12,9,35,33,2,56,2
20,0,,16,0,Southampton,34,44,12,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,13,5,16,43,56,-13,46,4
6,0,,17,0,Spurs,34,49,9,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,13,10,11,52,44,8,65,3
57,0,,18,0,Watford,34,31,17,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,7,10,17,31,53,-22,68,3
21,0,,19,0,West Ham,34,31,16,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,8,7,19,40,59,-19,59,1
39,0,,20,0,Wolves,34,52,6,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,13,13,8,45,37,8,50,2
