name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,team,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position,season,next_fixture_team,next_fixture_position,next_fixture_points,next_fixture_wins,next_fixture_draws,next_fixture_losses,next_fixture_goals_for,next_fixture_goals_against,next_fixture_goals_diff,next_fixture_played,next_fixture_yc,next_fixture_rc,name_first,name_last,element_type
Aaron_Connolly_534,0,0,2,1,5.8,534,104,0,0,4.8,0.0,2019-11-02T15:00:00Z,85,14,0,0,0,0,11,0,263242,0,2,46.0,2,109148,118970,9822,46,True,0,4.0,15,4,3,4,14,14,0,11,13,2,8,2019,12,7,16,4,4,4,16,12,4,12,26,0,Aaron,Connolly,4
Aaron_Cresswell_376,0,0,11,0,7.8,376,110,3,0,1.9,7.4,2019-11-02T15:00:00Z,90,13,0,0,0,0,11,0,140056,3,2,4.0,0,2389,11799,9410,49,True,1,19.0,13,3,4,4,14,17,-3,11,20,1,13,2019,5,10,15,4,3,5,17,18,-1,12,21,0,Aaron,Cresswell,2
Aaron_Lennon_430,0,0,0,0,0.0,430,108,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,15,0,0,0,0,11,0,6786,0,3,0.0,0,-206,131,337,48,False,0,5.0,12,3,3,5,14,18,-4,11,19,0,14,2019,19,16,13,3,4,5,14,20,-6,12,21,1,Aaron,Lennon,3
Aaron_Mooy_516,0,0,0,0,0.0,516,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,14,0,0,0,0,11,0,11065,0,2,0.0,0,-214,519,733,48,True,0,4.0,15,4,3,4,14,14,0,11,13,2,8,2019,12,7,16,4,4,4,16,12,4,12,26,0,Aaron,Mooy,3
Aaron_Ramsdale_494,0,2,29,1,0.0,494,103,0,0,2.0,19.6,2019-11-02T12:30:00Z,90,12,0,0,0,0,11,4,108434,0,1,0.0,9,16805,22278,5473,45,True,0,3.0,16,4,4,3,14,13,1,11,24,0,7,2019,13,13,15,4,3,5,11,18,-7,12,25,2,Aaron,Ramsdale,1
Aaron_Wan-Bissaka_122,0,0,16,0,2.8,122,103,1,0,2.0,17.2,2019-11-02T12:30:00Z,80,3,0,0,0,0,11,0,1223982,0,1,0.0,2,-6567,36330,42897,54,False,0,12.0,13,3,4,4,13,11,2,11,24,0,10,2019,4,11,15,4,3,5,15,17,-2,12,18,2,Aaron,Wan-Bissaka,2
Abdoulaye_Doucouré_368,0,0,19,0,29.2,368,109,2,0,7.2,19.0,2019-11-02T17:30:00Z,90,6,0,0,0,0,11,0,69812,2,1,24.0,2,-2456,2193,4649,57,True,0,18.0,5,0,5,6,6,23,-17,11,25,0,20,2019,14,20,7,2,1,9,11,28,-17,12,18,0,Abdoulaye,Doucouré,3
Adama_Traoré_417,0,0,3,0,27.3,417,101,1,0,4.3,9.8,2019-11-02T15:00:00Z,90,1,0,0,0,0,11,0,260912,1,1,6.0,2,144,38894,38750,51,False,0,20.0,13,2,7,2,14,14,0,11,17,2,12,2019,2,17,11,3,2,7,17,20,-3,12,19,1,Adama,Traoré,3
Adam_Idah_538,0,0,0,0,0.0,538,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,4,0,0,0,0,11,0,7611,0,2,0.0,0,13,802,789,45,False,0,14.0,7,2,1,8,11,26,-15,11,17,0,19,2019,18,18,8,1,5,6,8,23,-15,12,27,1,Adam,Idah,4
Adam_Lallana_195,0,0,15,0,40.8,195,102,1,0,7.7,21.8,2019-11-02T15:00:00Z,83,2,0,0,0,0,11,0,8428,2,1,14.0,2,50,428,378,58,False,0,10.0,31,10,1,0,25,9,16,11,13,0,1,2019,11,4,25,8,1,3,35,13,22,12,24,1,Adam,Lallana,3
Adam_Masina_355,0,0,6,0,10.3,355,109,2,0,3.1,15.4,2019-11-02T17:30:00Z,90,6,0,0,0,0,11,0,4428,2,1,5.0,1,92,164,72,43,True,0,18.0,5,0,5,6,6,23,-17,11,25,0,20,2019,14,20,7,2,1,9,11,28,-17,12,18,0,Adam,Masina,2
Adam_Smith_63,1,3,38,1,30.3,63,103,0,0,6.7,32.2,2019-11-02T12:30:00Z,90,12,0,0,0,0,11,0,34048,0,1,4.0,12,1555,2453,898,43,True,0,3.0,16,4,4,3,14,13,1,11,24,0,7,2019,13,13,15,4,3,5,11,18,-7,12,25,2,Adam,Smith,2
Adam_Webster_493,0,0,12,0,0.4,493,104,0,0,0.6,5.2,2019-11-02T15:00:00Z,35,14,0,0,0,0,11,0,18946,0,2,0.0,1,1035,2672,1637,44,True,0,4.0,15,4,3,4,14,14,0,11,13,2,8,2019,12,7,16,4,4,4,16,12,4,12,26,0,Adam,Webster,2
Addji Keaninkin Marc-Israel_Guehi_545,0,0,0,0,0.0,545,109,0,0,0.0,0.0,2019-11-02T17:30:00Z,0,18,0,0,0,0,11,0,4530,2,1,0.0,0,302,723,421,40,False,0,6.0,23,7,2,2,25,17,8,11,20,0,4,2019,7,12,15,4,3,5,10,16,-6,12,24,0,Addji Keaninkin Marc-Israel,Guehi,2
Ademola_Lookman_155,0,0,0,0,0.0,155,106,0,0,0.0,0.0,2019-11-03T16:30:00Z,0,17,0,0,0,0,11,0,458,1,1,0.0,0,-1,8,9,50,True,0,8.0,11,3,2,6,11,17,-6,11,19,2,17,2019,16,19,8,2,2,8,11,29,-18,12,14,2,Ademola,Lookman,3
Adrian_Mariappa_356,0,0,5,0,0.4,356,109,1,0,1.3,8.2,2019-11-02T17:30:00Z,70,6,0,0,0,0,11,0,10416,2,1,4.0,1,-295,118,413,43,True,1,18.0,5,0,5,6,6,23,-17,11,25,0,20,2019,14,20,7,2,1,9,11,28,-17,12,18,0,Adrian,Mariappa,2
Adrián_San Miguel del Castillo_526,0,0,0,0,0.0,526,102,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,2,0,0,0,0,11,0,244645,2,1,0.0,0,-60248,1451,61699,44,False,0,10.0,31,10,1,0,25,9,16,11,13,0,1,2019,11,4,25,8,1,3,35,13,22,12,24,1,Adrián,San Miguel del Castillo,1
Ahmed_El Mohamady_22,0,0,6,0,0.1,22,102,2,0,1.0,9.6,2019-11-02T15:00:00Z,21,10,0,0,0,0,11,0,68834,2,1,0.0,0,-2656,1644,4300,42,True,0,2.0,11,3,2,6,16,18,-2,11,16,1,16,2019,20,8,16,3,7,2,16,15,1,12,21,2,Ahmed,El Mohamady,2
Ainsley_Maitland-Niles_4,0,0,0,0,0.0,4,101,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,20,0,0,0,0,11,0,263873,1,1,0.0,0,-33655,1268,34923,48,True,0,1.0,17,4,5,2,16,15,1,11,26,1,5,2019,9,2,26,8,2,2,29,8,21,12,14,0,Ainsley,Maitland-Niles,2
Akin_Famewo_552,0,0,0,0,0.0,552,104,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,4,0,0,0,0,11,0,2910,0,2,0.0,0,362,605,243,40,False,0,14.0,7,2,1,8,11,26,-15,11,17,0,19,2019,18,18,8,1,5,6,8,23,-15,12,27,1,Akin,Famewo,2
Albian_Ajeti_514,0,0,1,0,21.8,514,110,1,0,2.9,3.0,2019-11-02T15:00:00Z,45,13,0,0,0,0,11,0,2576,3,2,4.0,1,0,100,100,58,True,0,19.0,13,3,4,4,14,17,-3,11,20,1,13,2019,5,10,15,4,3,5,17,18,-1,12,21,0,Albian,Ajeti,4
Alexander_Tettey_289,0,0,14,0,0.0,289,104,1,0,1.5,15.2,2019-11-02T15:00:00Z,83,4,0,0,0,0,11,0,11992,0,2,0.0,2,-3,371,374,45,False,0,14.0,7,2,1,8,11,26,-15,11,17,0,19,2019,18,18,8,1,5,6,8,23,-15,12,27,1,Alexander,Tettey,3
Alexandre Nascimento_Costa Silva_387,0,0,0,0,0.0,387,110,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,13,0,0,0,0,11,0,79641,3,2,0.0,0,-2418,1905,4323,44,True,0,19.0,13,3,4,4,14,17,-3,11,20,1,13,2019,5,10,15,4,3,5,17,18,-1,12,21,0,Alexandre Nascimento,Costa Silva,4
Alexandre_Lacazette_12,1,0,18,0,36.9,12,101,0,0,9.0,26.4,2019-11-02T15:00:00Z,59,20,0,0,0,0,11,0,118088,1,1,27.0,4,9648,12962,3314,93,True,0,1.0,17,4,5,2,16,15,1,11,26,1,5,2019,9,2,26,8,2,2,29,8,21,12,14,0,Alexandre,Lacazette,4
Alexis_Sánchez_240,0,0,0,0,0.0,240,103,0,0,0.0,0.0,2019-11-02T12:30:00Z,0,3,0,0,0,0,11,0,29796,0,1,0.0,0,-314,37,351,68,False,0,12.0,13,3,4,4,13,11,2,11,24,0,10,2019,4,11,15,4,3,5,15,17,-2,12,18,2,Alexis,Sánchez,3
