code,draw,form,id,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win,wins,draws,losses,goals_for,goals_against,goals_diff,yc,rc
3,0,,1,0,Arsenal,26,34,10,1,ARS,4,1170,1170,1200,1150,1240,1180,,False,0,7,13,6,36,34,2,63,3
7,0,,2,0,Aston Villa,26,25,17,2,AVL,2,980,970,1040,1000,1050,1020,,False,0,7,4,15,34,50,-16,48,1
91,0,,3,0,Bournemouth,26,26,16,127,BOU,2,1030,990,1050,1000,1020,1020,,False,0,7,5,14,26,40,-14,50,3
36,0,,4,0,Brighton,26,27,15,131,BHA,2,1100,1100,1030,1040,1010,1050,,False,0,6,9,11,31,38,-7,38,2
90,0,,5,0,Burnley,26,34,11,43,BUR,3,1070,1130,1110,970,1180,1110,,False,0,10,4,12,30,39,-9,46,0
8,0,,6,0,Chelsea,26,41,4,4,CHE,4,1240,1240,1250,1220,1230,1220,,False,0,12,5,9,43,36,7,49,0
31,0,,7,0,Crystal Palace,26,30,14,6,CRY,3,1180,1080,1040,1040,1120,1130,,False,0,7,9,10,23,32,-9,41,1
11,0,,8,0,Everton,26,36,9,7,EVE,3,1210,1100,1180,1170,1240,1100,,False,0,10,6,10,34,38,-4,44,3
13,0,,9,0,Leicester,26,50,3,26,LEI,3,1080,1150,1100,1210,1160,1210,,False,0,15,5,6,54,26,28,29,1
14,0,,10,0,Liverpool,26,76,1,10,LIV,5,1320,1310,1330,1310,1350,1340,,False,0,25,1,0,61,15,46,26,1
43,0,,11,0,Man City,26,54,2,11,MCI,5,1270,1260,1320,1320,1340,1330,,False,0,17,3,6,67,29,38,47,3
1,0,,12,0,Man Utd,26,38,7,12,MUN,4,1330,1260,1260,1180,1300,1220,,False,0,10,8,8,38,29,9,50,0
4,0,,13,0,Newcastle,26,31,13,23,NEW,3,1040,1030,990,980,1100,1090,,False,0,8,7,11,24,40,-16,44,2
45,0,,14,0,Norwich,26,18,20,14,NOR,2,1040,1030,990,990,1020,980,,False,0,4,6,16,24,48,-24,49,1
49,0,,15,0,Sheffield Utd,26,39,6,18,SHU,3,1180,1170,1110,1050,1200,1180,,False,0,10,9,7,28,24,4,51,1
20,0,,16,0,Southampton,26,31,12,20,SOU,3,1050,1080,1080,1110,1040,1150,,False,0,9,4,13,32,48,-16,39,2
6,0,,17,0,Spurs,26,40,5,21,TOT,4,1130,1100,1140,1200,1240,1180,,False,0,11,7,8,43,34,9,49,3
57,0,,18,0,Watford,26,24,19,33,WAT,3,1120,1120,1150,1020,1140,1030,,False,0,5,9,12,24,40,-16,56,3
21,0,,19,0,West Ham,26,24,18,25,WHU,2,1030,1000,1150,1030,1030,1040,,False,0,6,6,14,30,45,-15,47,1
39,0,,20,0,Wolves,26,36,8,38,WOL,4,1230,1180,1200,1200,1190,1230,,False,0,8,12,6,35,32,3,38,2
